Date,Open,High,Low,Close,Adj Close,Volume
11-02-2016,2376.699951,2386.949951,2289.050049,2329.899902,2184.441162,310125
12-02-2016,2310,2328.800049,2251,2304.399902,2160.533447,326424
15-02-2016,2326,2372.300049,2305,2342.100098,2195.880127,308865
16-02-2016,2365,2368.699951,2328.550049,2329.850098,2184.394775,293481
17-02-2016,2329.5,2369,2263.800049,2357.449951,2210.271484,248046
18-02-2016,2370.050049,2417.649902,2364.100098,2406.399902,2256.165527,318053
19-02-2016,2410,2467,2406.149902,2455.800049,2302.481445,310736
22-02-2016,2459,2485,2451.25,2476.75,2322.123535,199748
23-02-2016,2480,2480,2386.75,2396.449951,2246.83667,220555
24-02-2016,2386.75,2408,2330.350098,2337.399902,2191.473389,297923
25-02-2016,2338,2352.850098,2292.199951,2322,2177.034912,530719
26-02-2016,2331.199951,2351.899902,2221.850098,2238.100098,2098.372803,524806
29-02-2016,2240,2268,2171.949951,2201.199951,2063.776367,660576
01-03-2016,2205.100098,2267,2205.100098,2258.199951,2117.217773,481942
02-03-2016,2279.949951,2318,2212.399902,2230.300049,2091.059814,809509
03-03-2016,2250,2286.199951,2241,2280.100098,2137.750732,557055
04-03-2016,2289.800049,2324.100098,2262.600098,2306.25,2162.267822,339975
08-03-2016,2308,2339,2295.100098,2326.25,2181.019287,203818
09-03-2016,2322.350098,2335,2300,2316.800049,2172.159424,295112
10-03-2016,2344.699951,2344.699951,2304.600098,2324.600098,2179.472412,139845
11-03-2016,2332.949951,2347,2310.100098,2325.899902,2180.691162,122688
14-03-2016,2333,2333,2302.199951,2316.600098,2171.971924,214060
15-03-2016,2308,2328,2268.100098,2278.449951,2136.203613,379744
16-03-2016,2245.600098,2259.649902,2213,2250,2156.861816,364016
17-03-2016,2256.550049,2283.300049,2250.149902,2269.899902,2175.937988,379252
18-03-2016,2271,2308,2268.350098,2303.350098,2208.003418,284447
21-03-2016,2307.899902,2320,2289.399902,2314.199951,2218.404053,179791
22-03-2016,2302,2322.800049,2297.699951,2310.800049,2215.14502,394338
23-03-2016,2314.899902,2364,2304.899902,2356.399902,2258.856934,258677
28-03-2016,2375.5,2375.5,2332.75,2357.350098,2259.768066,210492
29-03-2016,2356.899902,2374,2332,2351.949951,2254.591309,143428
30-03-2016,2364,2440,2363,2422.449951,2322.172852,379072
